Epoch 212    Validation MSELoss: 1.588343e-04    Training MSELoss: 1.283802e-04
Epoch 213    Validation MSELoss: 2.185948e-04    Training MSELoss: 1.215280e-04
Epoch 214    Validation MSELoss: 1.116202e-04    Training MSELoss: 1.187765e-04
Epoch 215    Validation MSELoss: 1.025305e-04    Training MSELoss: 1.079798e-04
Epoch 216    Validation MSELoss: 1.060458e-04    Training MSELoss: 1.174988e-04
Epoch 217    Validation MSELoss: 7.956811e-05    Training MSELoss: 1.218022e-04
Epoch 218    Validation MSELoss: 1.598834e-04    Training MSELoss: 1.058856e-04
Epoch 219    Validation MSELoss: 1.285204e-04    Training MSELoss: 1.230904e-04
Epoch 220    Validation MSELoss: 1.071544e-04    Training MSELoss: 1.155462e-04
Epoch 221    Validation MSELoss: 2.040972e-04    Training MSELoss: 1.080300e-04
Epoch 222    Validation MSELoss: 2.364342e-04    Training MSELoss: 1.223406e-04
Epoch 223    Validation MSELoss: 1.329830e-04    Training MSELoss: 1.161550e-04
Epoch 224    Validation MSELoss: 1.286690e-04    Training MSELoss: 1.103886e-04
Epoch 225    Validation MSELoss: 1.951961e-04    Training MSELoss: 1.280144e-04
Epoch 226    Validation MSELoss: 2.886620e-04    Training MSELoss: 1.099928e-04
Epoch 227    Validation MSELoss: 1.427382e-04    Training MSELoss: 1.287705e-04
Epoch 228    Validation MSELoss: 2.602585e-04    Training MSELoss: 1.161336e-04
Epoch 229    Validation MSELoss: 8.195663e-05    Training MSELoss: 1.392665e-04
Epoch 230    Validation MSELoss: 1.883013e-04    Training MSELoss: 1.180819e-04
Epoch 231    Validation MSELoss: 1.216710e-04    Training MSELoss: 1.154839e-04
Epoch 232    Validation MSELoss: 1.427524e-04    Training MSELoss: 1.300132e-04
Epoch 233    Validation MSELoss: 9.715098e-05    Training MSELoss: 1.177832e-04
Epoch 234    Validation MSELoss: 1.317701e-04    Training MSELoss: 1.193610e-04
Epoch 235    Validation MSELoss: 1.643613e-04    Training MSELoss: 1.157719e-04
Epoch 236    Validation MSELoss: 2.018095e-04    Training MSELoss: 1.185724e-04
Epoch 237    Validation MSELoss: 2.829472e-04    Training MSELoss: 1.135790e-04
Epoch 238    Validation MSELoss: 1.028195e-04    Training MSELoss: 1.303250e-04
Epoch 239    Validation MSELoss: 2.200344e-04    Training MSELoss: 1.318017e-04
Epoch 240    Validation MSELoss: 1.923022e-04    Training MSELoss: 1.283320e-04
Epoch 241    Validation MSELoss: 1.394593e-04    Training MSELoss: 1.300307e-04
Epoch 242    Validation MSELoss: 2.483436e-04    Training MSELoss: 1.105734e-04
Epoch 243    Validation MSELoss: 6.862667e-05    Training MSELoss: 1.213739e-04
Epoch 244    Validation MSELoss: 2.747198e-04    Training MSELoss: 1.213421e-04
Epoch 245    Validation MSELoss: 3.487857e-04    Training MSELoss: 1.248947e-04
Epoch 246    Validation MSELoss: 1.420406e-04    Training MSELoss: 1.201927e-04
Epoch 247    Validation MSELoss: 2.809552e-04    Training MSELoss: 1.254002e-04
Epoch 248    Validation MSELoss: 2.158591e-04    Training MSELoss: 1.267403e-04
Epoch 249    Validation MSELoss: 2.872514e-04    Training MSELoss: 1.110560e-04
Epoch 250    Validation MSELoss: 3.880551e-04    Training MSELoss: 1.159786e-04
Epoch 251    Validation MSELoss: 3.148011e-04    Training MSELoss: 1.272635e-04
Epoch 252    Validation MSELoss: 1.544418e-04    Training MSELoss: 1.275440e-04
Epoch 253    Validation MSELoss: 4.431767e-04    Training MSELoss: 1.252832e-04
Epoch 254    Validation MSELoss: 6.577870e-04    Training MSELoss: 1.254516e-04
Epoch 255    Validation MSELoss: 1.937108e-04    Training MSELoss: 1.216299e-04
Epoch 256    Validation MSELoss: 2.046163e-04    Training MSELoss: 1.434968e-04
Epoch 257    Validation MSELoss: 9.804008e-05    Training MSELoss: 1.357530e-04
Epoch 258    Validation MSELoss: 1.501724e-04    Training MSELoss: 1.372322e-04
Epoch 259    Validation MSELoss: 1.182460e-04    Training MSELoss: 1.222417e-04
Epoch 260    Validation MSELoss: 1.355216e-04    Training MSELoss: 1.341026e-04
Epoch 261    Validation MSELoss: 2.194356e-04    Training MSELoss: 1.339613e-04
